 vx              voltage      
                qb            
  0.0000000e+00  6.999999e-01 
  1.0000000e-02  6.999999e-01 
  2.0000000e-02  6.999998e-01 
  3.0000000e-02  6.999998e-01 
  4.0000000e-02  6.999997e-01 
  5.0000000e-02  6.999996e-01 
  6.0000000e-02  6.999994e-01 
  7.0000000e-02  6.999991e-01 
  8.0000000e-02  6.999987e-01 
  9.0000000e-02  6.999981e-01 
  1.0000000e-01  6.999972e-01 
  1.1000000e-01  6.999959e-01 
  1.2000000e-01  6.999941e-01 
  1.3000000e-01  6.999913e-01 
  1.4000000e-01  6.999873e-01 
  1.5000000e-01  6.999813e-01 
  1.6000000e-01  6.999724e-01 
  1.7000000e-01  6.999590e-01 
  1.8000000e-01  6.999389e-01 
  1.9000000e-01  6.999084e-01 
  2.0000000e-01  6.998619e-01 
  2.1000000e-01  6.997907e-01 
  2.2000000e-01  6.996808e-01 
  2.3000000e-01  6.995100e-01 
  2.4000000e-01  6.992426e-01 
  2.5000000e-01  6.988208e-01 
  2.6000000e-01  6.981496e-01 
  2.7000000e-01  6.970709e-01 
  2.8000000e-01  6.953144e-01 
  2.9000000e-01  6.923968e-01 
  3.0000000e-01  6.873791e-01 
  3.1000000e-01  6.780735e-01 
  3.2000000e-01  6.563309e-01 
  3.3000000e-01  4.690669e-01 
  3.4000000e-01  3.911554e-01 
  3.5000000e-01  3.666880e-01 
  3.6000000e-01  3.501572e-01 
  3.7000000e-01  3.367491e-01 
  3.8000000e-01  3.249176e-01 
  3.9000000e-01  3.139826e-01 
  4.0000000e-01  3.035968e-01 
  4.1000000e-01  2.935676e-01 
  4.2000000e-01  2.837843e-01 
  4.3000000e-01  2.741823e-01 
  4.4000000e-01  2.647252e-01 
  4.5000000e-01  2.553951e-01 
  4.6000000e-01  2.461869e-01 
  4.7000000e-01  2.371056e-01 
  4.8000000e-01  2.281647e-01 
  4.9000000e-01  2.193859e-01 
  5.0000000e-01  2.107989e-01 
  5.1000000e-01  2.024417e-01 
  5.2000000e-01  1.943595e-01 
  5.3000000e-01  1.866030e-01 
  5.4000000e-01  1.792244e-01 
  5.5000000e-01  1.722718e-01 
  5.6000000e-01  1.657823e-01 
  5.7000000e-01  1.597765e-01 
  5.8000000e-01  1.542565e-01 
  5.9000000e-01  1.492070e-01 
  6.0000000e-01  1.446003e-01 
  6.1000000e-01  1.404009e-01 
  6.2000000e-01  1.365705e-01 
  6.3000000e-01  1.330711e-01 
  6.4000000e-01  1.298670e-01 
  6.5000000e-01  1.269258e-01 
  6.6000000e-01  1.242188e-01 
  6.7000000e-01  1.217205e-01 
  6.8000000e-01  1.194089e-01 
  6.9000000e-01  1.172645e-01 
  7.0000000e-01  1.152706e-01 
y

